Index#,Rubber,Prices,Links
1,Gewo Codexx Pro 55 Super Select Rubber,94.49,https://www.pingpongdepot.com/gewo-codexx-pro-55-super-select-rubber/
2,Victas Ventus Regular Alpha Rubber Sheet - Winter Wonders - Save 33%,29.98,https://www.pingpongdepot.com/victas-ventus-regular-alpha-rubber-sheet/
3,Gewo Nexxus EL Pro Super Select 50 Rubber,94.49,https://www.pingpongdepot.com/gewo-nexxus-el-pro-super-select-50-rubber/
4,Gewo Codexx Pro 53 Super Select Rubber,94.49,https://www.pingpongdepot.com/gewo-codexx-pro-53-super-select-rubber/
5,Butterfly Glayzer 09C Rubber - Weekly Special - Save 15%,62.96,https://www.pingpongdepot.com/butterfly-glayzer-09c-rubber/
6,Butterfly Glayzer Rubber - Weekly Special - Save 15%,62.96,https://www.pingpongdepot.com/butterfly-glayzer-rubber/
7,Andro Rasanter C53 Rubber,102.59,https://www.pingpongdepot.com/andro-rasanter-c53-rubber/
8,Andro Rasanter C48 Rubber - Winter Wonders - Save 37%,64.98,https://www.pingpongdepot.com/andro-rasanter-c48-rubber-daily-deals-save-41/
9,DONIC BlueStar A1 Rubber - Winter Wonders - Save 22%,79.98,https://www.pingpongdepot.com/donic-bluestar-a1-rubber/
10,Victas V > 22 Double Extra Rubber,95.84,https://www.pingpongdepot.com/victas-v-22-double-extra-rubber/
11,Gewo Proton Neo 475 Rubber Black 2.2,67.49,https://www.pingpongdepot.com/gewo-proton-neo-475-rubber-black-2-2-rubber-and-blade-extravaganza-sale-save-30/
12,Victas V > 20 Double Extra Rubber,80.99,https://www.pingpongdepot.com/victas-v-20-double-extra-rubber/
13,Gewo Return Pro Rubber - Winter Wonders - Save 26%,39.98,https://www.pingpongdepot.com/gewo-return-pro-rubber-fall-follies-save-31/
14,Victas VO 103 rubber - Winter Wonders - Save 40%,39.98,https://www.pingpongdepot.com/victas-vo-103-rubber/
15,GEWO Raver Rubber - Winter Wonders - Save 56%,11.98,https://www.pingpongdepot.com/gewo-raver-rubber/
16,Gewo Nexxus EL Pro 45 SuperSelect Rubber - Winter Wonders - Save 26%,69.98,https://www.pingpongdepot.com/gewo-nexxus-el-pro-45-superselect-rubber/
17,Gewo Nexxus EL Pro 48 SuperSelect Rubber - Winter Wonders - Save 37%,59.98,https://www.pingpongdepot.com/gewo-nexxus-el-pro-48-superselect-rubber/
18,Gewo Nexxus EL Pro 53 SuperSelect Rubber - Winter Wonders - Save 37%,59.98,https://www.pingpongdepot.com/gewo-nexxus-el-pro-53-superselect-rubber/
